id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,adb_butinaca,amidon,amphetamine,buprenorphine,cafeine,cbd,cbn,clonazepam,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,diametre,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,hauteur,ketamine,lactose,largeur,levamisole,lidocaine,logo,longueur,mannitol,masse,mdmb_4en_pinaca,morphine,n_methyl_tryptamine,nom_de_logo,noscapine,numero_echantillon,o6_monoacetylmorphine,ovule,paracetamol,phenacetine,presentation,procaine,secabilite_recto,secabilite_verso,taux_cbd,taux_cbn,type_drogue,vanilline,visqueux
541,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,1,,0,,,,,,,,,Divers,,
571,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.11,4.31,,Circulaire,,,,,,,,,Oui,,,235,,,,TIGER,,1-1,,,,,,,Aucune,Aucune,,,Divers,,
572,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.11,4.31,,Circulaire,,,,,,,,,Oui,,,235,,,,TIGER,,1-2,,,,,,,Aucune,Aucune,,,Divers,,
573,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.11,4.31,,Circulaire,,,,,,,,,Oui,,,235,,,,TIGER,,1-3,,,,,,,Aucune,Aucune,,,Divers,,
574,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.11,4.31,,Circulaire,,,,,,,,,Oui,,,235,,,,TIGER,,1-4,,,,,,,Aucune,Aucune,,,Divers,,
575,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.11,4.31,,Circulaire,,,,,,,,,Oui,,,235,,,,TIGER,,1-5,,,,,,,Aucune,Aucune,,,Divers,,
576,,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,2-1,,0,,,,,,,,,Divers,,
713,0,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5477,,0,,,,,,,,,Divers,,
714,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5478,,0,,,,,,,,,Divers,,
761,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S1-1,,0,,,,,,,,,Divers,,
762,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S1-2,,0,,,,,,,,,Divers,,
763,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S1-3,,0,,,,,,,,,Divers,,
780,,,,,,,,,,,,,,,,,,,,,Marron,,Blanche,,,,,,,,,,,,,,,,,Non,,,,,,,,,G1,,0,,,,,,,,,Divers,,
781,,,,,,,,,,,,,,,,,,,,,Marron,,Blanche,,,,,,,,,,,,,,,,,Non,,,,,,,,,G2,,0,,,,,,,,,Divers,,
782,,,,,,,,,,,,,,,,,,,,,Marron,,Blanche,,,,,,,,,,,,,,,,,Non,,,,,,,,,G3,,0,,,,,,,,,Divers,,
783,,,,,,,,,,,,,,,,,,,,,Marron,,Blanche,,,,,,,,,,,,,,,,,Non,,,,,,,,,G4,,0,,,,,,,,,Divers,,
784,,,,,,,,,,,,,,,,,,,,,Marron,,Blanche,,,,,,,,,,,,,,,,,Non,,,,,,,,,G5,,0,,,,,,,,,Divers,,
788,97,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,MA,,0,,,,,,,,,Divers,,
789,96,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,F1,,0,,,,,,,,,Divers,,
795,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5480,,0,,,,,,,,,Divers,,
796,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,5475,,0,,,,,,,,,Divers,,
801,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A1 Pa,,0,,,,,,,,,Divers,,
802,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A2 Pa,,0,,,,,,,,,Divers,,
803,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A3 Pa,,0,,,,,,,,,Divers,,
804,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A4 Pa,,0,,,,,,,,,Divers,,
805,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A5 Pa,,0,,,,,,,,,Divers,,
806,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,A6 Pa,,0,,,,,,,,,Divers,,
807,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,B1 Pa,,0,,,,,,,,,Divers,,
808,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,B2 Pa,,0,,,,,,,,,Divers,,
809,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,B3 Pa,,0,,,,,,,,,Divers,,
810,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,B4 Pa,,0,,,,,,,,,Divers,,
814,,,,,,,Non,,,,,,,,,,,,,,,Blanche,,,Blanche,,,8.9,4.5,,Circulaire,,,,,,,,,Non,,,330,,,,,,20_066133,,,,,,,Aucune,Aucune,,,Divers,,
815,,,,,,,,,,,,,,,,,,,,,Blanc Cassé,,Rouge,Blanche,,,,5.2,,,,,,,,,,,,Non,15.5,,,,,,,,20_066134,,0,,,,,,,,,Divers,,
859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,K1,,,,,Débris végétaux,,,,,,Divers,,
878,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,S1,,0,,,,,,,,,Divers,,
879,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,7.8,,Non,,,,,,,,,S2,,0,,,,,,,,,Divers,,
