,id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,acide_benzoique,acide_borique,adb_butinaca,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,buprenorphine,cafeine,cannabidiol,cannabigerol,cannabinol,cbd,cbn,cis_cinnamoylcocaine,clonazepam,clotrimazole,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,creatine,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,description_de_l_objet,dextromethorphane,diametre,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,glucose,griseofulvine,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,ketamine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,longueur,maltose,mannitol,masse,mdmb_4en_pinaca,meconine,methamphetamine,methylecgonidine,monoacetylmorphine,morphine,nicotine,n_methyl_tryptamine,nom_de_logo,norcocaine,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,oxycodone,papaverine,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbd,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,vanilline,visqueux
10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,B1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,B2,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,B4,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,B3,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
16,17,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,71.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
19,20,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,Non,,,,,,,,,1.8,,,,,,3.05,1-A,,,0,,,56.7,,,,,,,,,,,,,,,,,,Héroïne,,,,
20,21,,,,,,,,,,,,,,,,,,,,,,,29.35,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,Non,,,,,,,,,1.8,,,,,,3.05,2A,,,0,,,56.7,,,,,,,,,,,,,,,,,,Héroïne,,,,
21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.7,Non,,,,,,,,,,,,,,,,10319,,,0,,,,16.8,,,,,,,,,,,,,,,,,Cocaïne,,,,
22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
24,25,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,73.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Non,,,,,,,,,,,,,,,,1,,,0,,,,0,,,,,,,,,,,,,,,,,Cocaïne,,,,
25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,Non,,,,,,,,,,,,,,,,6,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,Non,,,,,,,,,,,,,,,,9,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,Non,,,,,,,,,,,,,,,,9,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
