,id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,_3_4_methylenedioxyphenylacetone,_4f_mdmb_butinaca,_5f_adb,_5f_mdmb_pica,abime,acetylcodeine,acetylthebaol,acide_4_hydroxybutanoique,acide_benzoique,acide_borique,adb_butinaca,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,buprenorphine,cafeine,cannabidiol,cannabigerol,cannabinol,cbd,cbn,cis_cinnamoylcocaine,clonazepam,clotrimazole,cocaine,codeine,couleur,couleur_exterieur,couleur_exterieur_1,couleur_exterieur_2,couleur_interieur,creatine,delta8_tetrahydrocannabinol,delta9_tetrahydrocannabinol,description_de_l_objet,dextromethorphane,diametre,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,etiquette,forme,fub_amb,gammabutyrolactone,glucose,griseofulvine,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,ketamine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,longueur,maltose,mannitol,masse,mdmb_4en_pinaca,meconine,methamphetamine,methylecgonidine,monoacetylmorphine,morphine,nicotine,n_methyl_tryptamine,nom_de_logo,norcocaine,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,oxycodone,papaverine,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbd,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,vanilline,visqueux
667,680,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,78,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,Non,,,,,,,,,,,,,,,,20_066106,,,1,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
668,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,Non,,,,,,,,,,,,,,,,20_066104,,,0,,,7,,,,,,,,,,,,,,,,,,Cocaïne,,,,
669,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
670,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,Non,,,,,,,,,,,,,,,,20_066105,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
671,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
672,685,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_066119,,,,,,,,,Sommités,,,,,,,,9,,,,,,,Cannabis,,,,
673,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,N,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
674,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,T,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
675,688,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_066129,,,,,,,,,Sommités,,,,,,,,2,,,,,,,Cannabis,,,,
676,689,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_066130,,,,,,,,,Sommités,,,,,,,,2,,,,,,,Cannabis,,,,
677,690,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,29.1,,,,,,,,,,,,20_066114,,,,,,,,,Morceaux,,,,,,,,0.5,0.7,,,,,,Cannabis,,,,
678,691,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,29.1,,,,,,,,,,,,20_066115,,,,,,,,,Morceaux,,,,,,,,0.5,0.7,,,,,,Cannabis,,,,
679,692,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,17.36,,,,,,,,,,,,20_066117,,,,,,,,,Morceaux,,,,,,,,1.2,0.5,,,,,,Cannabis,,,,
680,693,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,17.36,,,,,,,,,,,,20_066120,,,,,,,,,Morceaux,,,,,,,,1.2,0.5,,,,,,Cannabis,,,,
681,694,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,75.3,,,,,,,,,,,,20_066122,,,,,,,,,Morceaux,,,,,,,,0.5,0.6,,,,,,Cannabis,,,,
682,695,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,29,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,,43.59,,,,,,,,,IR,,,20_066121,,,,,,,,,Morceaux,,,,,,,,1.9,0.7,,,,,,Cannabis,,,,
683,697,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,75.3,,,,,,,,,,,,20_066124,,,,,,,,,Morceaux,,,,,,,,0.5,0.6,,,,,,Cannabis,,,,
684,698,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,34,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,34.1,,,,,,,,,IR,,,20_066123,,,,,,,,,Morceaux,,,,,,,,0.9,0.6,,,,,,Cannabis,,,,
685,699,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,22.88,,,,,,,,,,,,20_066125,,,,,,,,,Morceaux,,,,,,,,0.8,1.1,,,,,,Cannabis,,,,
686,700,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,30,,,,,,,,,25.8,Non,,,,,,,,,,,,,,,,45.7,,,,Oui,88.3,,,95.95,,,,,,,,,SH,,,20_066126,,,,,,,,,Plaquette,,,,,,,,1,0.8,,,,,,Cannabis,,,,
687,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_66116,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
688,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,20_066118,,,,,,,,,Sommités,,,,,,,,,,,,,,,Cannabis,,,,
689,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,COC B,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
690,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,1
691,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,1
692,706,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,U-1,,,,,,,,,Morceaux,,,,,,,,2,0,,,,,,Cannabis,,,,
693,707,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,U-2,,,,,,,,,Morceaux,,,,,,,,2,0,,,,,,Cannabis,,,,
694,708,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,U-3,,,,,,,,,Morceaux,,,,,,,,2,0,,,,,,Cannabis,,,,
695,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
696,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
697,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2-1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,1
698,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,Jaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2-2,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,1
699,713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,5477,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
700,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,5478,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
701,715,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Echantillon 2,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
702,716,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Echantillon 5,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
703,717,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Echantillon 8,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
704,718,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,LIPS 1,,,,,,,,,Débris végétaux,,,,,,,,0,0,,,,,,Cannabis,,,,
705,719,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,LIPS 3,,,,,,,,,Débris végétaux,,,,,,,,0,0,,,,,,Cannabis,,,,
706,720,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,LIPS 5,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
707,721,26.3,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.32,,Triangulaire,,,,,,10.09,,,,,,,,,10.61,,,,Oui,,,,413,,,,,,,,,Mitsubishi,,,1-1,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
708,722,26.3,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.32,,Triangulaire,,,,,,10.09,,,,,,,,,10.61,,,,Oui,,,,413,,,,,,,,,Mitsubishi,,,1-2,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
709,723,26.3,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.32,,Triangulaire,,,,,,10.09,,,,,,,,,10.61,,,,Oui,,,,413,,,,,,,,,Mitsubishi,,,1-3,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
710,724,26.3,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.32,,Triangulaire,,,,,,10.09,,,,,,,,,10.61,,,,Oui,,,,413,,,,,,,,,Mitsubishi,,,1-4,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
711,725,26.3,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.32,,Triangulaire,,,,,,10.09,,,,,,,,,10.61,,,,Oui,,,,413,,,,,,,,,Mitsubishi,,,1-5,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
712,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1R,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
713,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1T,,,,,,,,,Sommités,,,,,,,,,0,,,,,,Cannabis,,,,
714,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2L,,,,,,,,,Débris végétaux,,,,,,,,,0,,,,,,Cannabis,,,,
715,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,2M,,,,,,,,,Débris végétaux,,,,,,,,,0,,,,,,Cannabis,,,,
716,730,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,2.4,,,,,,,,,,,,8K,,,,,,,,,Morceaux,,,,,,,,1.5,1.5,,,,,,Cannabis,,,,
717,731,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,Amphétamine et dérivés,,,,
718,732,38,,,,,,Non,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,5.85,,Polygonale,,,,,,8.9,,,,,,,,,10,,,,Oui,,,,483,,,,,,,,,PP,,,1-B1,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
719,733,38,,,,,,Non,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,5.85,,Polygonale,,,,,,8.9,,,,,,,,,10,,,,Oui,,,,483,,,,,,,,,PP,,,1-B2,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
720,734,38,,,,,,Non,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,5.85,,Polygonale,,,,,,8.9,,,,,,,,,10,,,,Oui,,,,483,,,,,,,,,PP,,,4-B1,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
721,735,38,,,,,,Non,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,5.85,,Polygonale,,,,,,8.9,,,,,,,,,10,,,,Oui,,,,483,,,,,,,,,PP,,,4-B2,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
722,736,38,,,,,,Non,,,,,,,,,,,,,,,,6,,,,,,,,,,,,Bleue,,,,,,,,,,,,,,,5.85,,Polygonale,,,,,,8.9,,,,,,,,,10,,,,Oui,,,,483,,,,,,,,,PP,,,4-B3,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
723,737,33,,,,,,Non,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.78,,Polygonale,,,,,,8.88,,,,,,,,,10.05,,,,Oui,,,,444,,,,,,,,,PP,,,1-G1,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
724,738,33,,,,,,Non,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.78,,Polygonale,,,,,,8.88,,,,,,,,,10.05,,,,Oui,,,,444,,,,,,,,,PP,,,1-G2,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
725,739,33,,,,,,Non,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.78,,Polygonale,,,,,,8.88,,,,,,,,,10.05,,,,Oui,,,,444,,,,,,,,,PP,,,1-G3,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
726,740,33,,,,,,Non,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.78,,Polygonale,,,,,,8.88,,,,,,,,,10.05,,,,Oui,,,,444,,,,,,,,,PP,,,4-G1,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
727,741,33,,,,,,Non,,,,,,,,,,,,,,,,4,,,,,,,,,,,,Grise,,,,,,,,,,,,,,,5.78,,Polygonale,,,,,,8.88,,,,,,,,,10.05,,,,Oui,,,,444,,,,,,,,,PP,,,4-G2,,,,,,,,,,,,,Aucune,Aucune,,,,,,,,,,Amphétamine et dérivés,,,,
728,742,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,19.2,,,,,,,,,32,Oui,,,,,,,,,,,,,,,,51,,,,Oui,94,,,100.9,,,,,,,,,4,,,4,,,,,,,,,Plaquette,,,,,,,,0,0,,,,,,Cannabis,,,,
729,743,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,27.5,,,,,,,,,27,Oui,,,,,,,,,,,,,,,,50,,,,Oui,107,,,97.5,,,,,,,,,CUPRA,,,S,,,,,,,,,Plaquette,,,,,,,,0,0,,,,,,Cannabis,,,,
730,744,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,28.9,,,,,,,,,28,Oui,,,,,,,,,,,,,,,,55,,,,Oui,105,,,99.4,,,,,,,,,AMNESIA + sommité,,,1-1,,,,,,,,,Plaquette,,,,,,,,1.3,1,,,,,,Cannabis,,,,
731,745,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,28.9,,,,,,,,,28,Oui,,,,,,,,,,,,,,,,55,,,,Oui,105,,,99.4,,,,,,,,,AMNESIA + sommité,,,1-2,,,,,,,,,Plaquette,,,,,,,,1.3,1,,,,,,Cannabis,,,,
732,746,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,28.9,,,,,,,,,28,Oui,,,,,,,,,,,,,,,,55,,,,Oui,105,,,99.4,,,,,,,,,AMNESIA + sommité,,,A,,,,,,,,,Plaquette,,,,,,,,1.3,1,,,,,,Cannabis,,,,
733,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,Non,,,,,,,,,,,,,,,,C2,,,0,,,,0,,,,,,,,,,,,,,,,,Cocaïne,,,,
734,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,LJ1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
735,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
736,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-2,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
737,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-3,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
738,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-4,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
739,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-6,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
740,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,Blanc Cassé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,Non,,,,,,,,,,,,,,,,Z1-7,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
741,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Z1-5,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
742,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,Non,,,,,,,,,,,,,,,,20_066131,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
743,757,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,Beige,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,Non,,,,,,,,,,,,,,,15,20_066132,,,0,,,31,,,,,,,,,,,,,,,,,,Héroïne,,,,
744,758,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,SAC UN N°74,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
745,759,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,CARTON DEUX N°153,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
746,760,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,SAC ONZE N°12,,,,,,,,,Sommités,,,,,,,,0,0,,,,,,Cannabis,,,,
747,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,S1-1,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
748,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,S1-2,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
749,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Translucide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,S1-3,,,0,,,,,,,,,,,,,,,,,,,,,Divers,,,,
750,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
751,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,Non,,,,,,,,,,,,,,,,DOMINO,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
752,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,Non,,,,,,,,,,,,,,,,R 33,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
753,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,C 51,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
754,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,SOMEX 8,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
755,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.3,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,NIKE,,,0,,,,,,,,,,,,,,,,,,,,,Cocaïne,,,,
