id,_3_4_methylenedioxyethylamphetamine,abime,acide_benzoique,acide_borique,amidon,aminopyrine,amoxycilline,amphetamine,benzocaine,benzoylecgonine,bicarbonate_de_sodium,bicarbonates,cafeine,cbn,cis_cinnamoylcocaine,cocaine,codeine,couleur,couleur_exterieur,couleur_interieur,creatine,delta9_tetrahydrocannabinol,description_de_l_objet,diltiazem,dimethylterephtalate,diphenydramine,ecgonidine,ecgoninemethylester,epaisseur,forme,glucose,guaifenesine,hauteur,heroine,hydroxyzine,ibuprofene,inositol,isoleucine,lactitol,lactose,largeur,leucine,levamisole,lidocaine,logo,maltose,mannitol,masse,methylecgonidine,nicotine,nom_de_logo,norcocaine,numero_echantillon,ovule,oxycodone,paracetamol,phenacetine,piracetam,presentation,procaine,pv8,saccharose,secabilite_recto,secabilite_verso,sorbitol,talc,taux_cbn,terephtalates,tetracaine,tramadol,trans_cinnamoylcocaine,tropacocaine,type_drogue,uree,valine,visqueux
178,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-5,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
179,,,,,,,,,,,,,,,,32,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,9-6,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
186,,,,,,,,,,,,,,,,0,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,S37,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
188,,,,,,,,,,,,,,,,59.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,S23-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
189,,,,,,,,,,,,,,,,59.7,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,S23-3,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
190,,,,,,,,,,,,,,,,41.4,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,S23-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
208,,,,,,,,,,,,,0,,,53,,Blanche,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,Non,,,,,,,,KC2-3,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
210,,,,,,,,,,,,,0,,,41,,Blanche,,,,,,,,,,,,,,,,,0,,,,,,,,0,8,Non,,,,,,,,KC2-4,0,,,,,,,,0,,,,,,,,,,,Cocaïne,,,
211,,,,,,,,,,,,,0,,,42,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,0,,Non,,,,,,,,KC2-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
212,,,,,,,,,,,,,0,,,44,,Blanche,,,,,,,,,,,,,,,,,0,,,,,,,,0,,Non,,,,,,,,KC2-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
214,,,,,,,,,,,,,,,,82.5,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
216,,,,,,,,,,,,,0,,,40,,Blanche,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,Non,,,,,,,,1-1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
217,,,,,,,,,,,,,,,,78.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
218,,,,,,,,,,,,,0,,,41,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1-2,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
227,,,,,,,,,,,,,,,,38,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,UN-BIS,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
228,,,,,,,,,,,,,,,,84,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
234,,,,,,,,,,,,,,,,62,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
244,,,,,,,,,,,,,,,,67.1,,Blanche,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,Non,,,,,,,,1D,0,,,,,,,,,,,,,,,,,,,Cocaïne,,,
