id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,abime,amphetamine,cafeine,couleur,couleur_exterieur,couleur_interieur,diametre,epaisseur,forme,hauteur,largeur,lidocaine,logo,masse,methamphetamine,nom_de_logo,numero_echantillon,ovule,phenacetine,secabilite_recto,secabilite_verso,type_drogue,visqueux
6584,100,,,,,Translucide,,,,,,,,,Non,,,,ech 3,0,,,,Amphétamine et dérivés,
6755,,,,52.4,46.2,Blanc Cassé,,,,,,,,,Non,,,,speed test,0,,,,Amphétamine et dérivés,
6756,,,,,,Blanche,,,,,,,,,Non,,98.8,,Met test,0,,,,Amphétamine et dérivés,
6833,,,,,,Blanche,,,,,,,,,Non,,,,21_115023,0,,,,Amphétamine et dérivés,
6834,,,,,,Blanche,,,,,,,,,Non,,,,21_115024,0,,,,Amphétamine et dérivés,
6835,,,,,,Blanche,,,,,,,,,Non,,,,21_115025,0,,,,Amphétamine et dérivés,
6836,,,,,,Blanche,,,,,,,,,Non,,,,21_115026,0,,,,Amphétamine et dérivés,
6837,,,,,,Blanche,,,,,,,,,Non,,,,21_115027,0,,,,Amphétamine et dérivés,
6838,,,,,,Blanche,,,,,,,,,Non,,,,21_115028,0,,,,Amphétamine et dérivés,
6850,0,,Oui,,,,Rose,Rose,,5.56,Autre,11.23,11.35,,Oui,660,,tete de tigre KENZO,3-2,,,Aucune,Aucune,Amphétamine et dérivés,
6992,,,,,,Blanche,,,,,,,,,Non,,,,21_115015,0,,,,Amphétamine et dérivés,
6993,,,,,,Blanche,,,,,,,,,Non,,,,21_115016,0,,,,Amphétamine et dérivés,
7088,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-1-1,,,Aucune,Aucune,Amphétamine et dérivés,
7089,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-1-2,,,Aucune,Aucune,Amphétamine et dérivés,
7090,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-1-3,,,Aucune,Aucune,Amphétamine et dérivés,
7091,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-1-4,,,Aucune,Aucune,Amphétamine et dérivés,
7092,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-1-5,,,Aucune,Aucune,Amphétamine et dérivés,
7093,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-2-1a,,,Aucune,Aucune,Amphétamine et dérivés,
7094,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-2-2a,,,Aucune,Aucune,Amphétamine et dérivés,
7095,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-2-3a,,,Aucune,Aucune,Amphétamine et dérivés,
7096,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-2-4a,,,Aucune,Aucune,Amphétamine et dérivés,
7097,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-3-1a,,,Aucune,Aucune,Amphétamine et dérivés,
7098,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-3-2a,,,Aucune,Aucune,Amphétamine et dérivés,
7099,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-3-3a,,,Aucune,Aucune,Amphétamine et dérivés,
7100,50,,Non,,,,Rose,,,4.43,Autre,8.1,20.26,,Oui,657,,Audi RS,1-3-4a,,,Aucune,Aucune,Amphétamine et dérivés,
7104,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-2-1m,,,Aucune,Aucune,Amphétamine et dérivés,
7105,0,,Non,,,,Orange,,,4.84,Triangulaire,9.67,12.68,,Oui,404,,Maybach - 2 M entrelacés,1-2-2m,,,Aucune,Aucune,Amphétamine et dérivés,
