id,_3_4_methylene_dioxy_methylamphetamine,acetylcodeine,acetylthebaol,cafeine,clotrimazole,cocaine,couleur,description_de_l_objet,dextromethorphane,griseofulvine,heroine,logo,mannitol,meconine,monoacetylmorphine,morphine,nom_de_logo,noscapine,numero_echantillon,o3_monoacetylmorphine_,o6_monoacetylmorphine,ovule,papaverine,paracetamol,phenacetine,presentation,saccharose,type_drogue
1110,,,,21.8,,13.5,Marron,,,,8,Non,,,,,,0,63-1,,,0,,40.9,,,,Héroïne
1111,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,P,,,0,,32.7,,,,Héroïne
1112,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B1,,,0,,32.7,,,,Héroïne
1113,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B2,,,0,,32.7,,,,Héroïne
1114,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B3,,,0,,32.7,,,,Héroïne
1115,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B4,,,0,,32.7,,,,Héroïne
1116,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B5,,,0,,32.7,,,,Héroïne
1117,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B6,,,0,,32.7,,,,Héroïne
1118,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B7,,,0,,32.7,,,,Héroïne
1119,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B8,,,0,,32.7,,,,Héroïne
1120,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B9,,,0,,32.7,,,,Héroïne
1121,,,,17.1,,,Beige,,,,22.8,Non,,,2.6,,,13.9,B10,,,0,,32.7,,,,Héroïne
1136,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B1,,,0,,41.3,,,,Héroïne
1137,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B2,,,0,,41.3,,,,Héroïne
1138,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B3,,,0,,41.3,,,,Héroïne
1139,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B4,,,0,,41.3,,,,Héroïne
1140,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B5,,,0,,41.3,,,,Héroïne
1141,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B6,,,0,,41.3,,,,Héroïne
1142,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B7,,,0,,41.3,,,,Héroïne
1143,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B8,,,0,,41.3,,,,Héroïne
1144,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B9,,,0,,41.3,,,,Héroïne
1145,,,,21.2,,,Beige,,,,14.5,Non,,,3.9,,,7.7,B10,,,0,,41.3,,,,Héroïne
1185,,,,29.7,,,Marron,,,,5.2,Non,,,,,,0,4-2,,,0,,60,,,,Héroïne
1186,,,,29.7,,,Marron,,,,5.2,Non,,,,,,0,4-3,,,0,,60,,,,Héroïne
1194,,,,29.8,,,Marron,,,,5.1,Non,,,,,,0,4 -1,,,0,,59.4,,,,Héroïne
1197,,,,29.8,,,Marron,,,,5.1,Non,,,,,,0,4 -6,,,0,,59.4,,,,Héroïne
1198,,,,29.8,,,Marron,,,,5.1,Non,,,,,,0,4 -7,,,0,,59.4,,,,Héroïne
1210,,,,29.9,,,Marron,,,,5,Non,,,,,,0,4- 4,,,0,,59.6,,,,Héroïne
1211,,,,29.9,,,Marron,,,,5,Non,,,,,,0,4- 5,,,0,,59.6,,,,Héroïne
1253,,,,26.1,,,Beige,,,,13.6,Non,,,,,,5.8,H,,,0,,53.3,,,,Héroïne
1278,,,,23.5,,,Beige,,,,13.8,Non,,,1.85,,,6.5,P1,,,0,,49,,,,Héroïne
1279,,,,23.5,,,Beige,,,,13.8,Non,,,1.85,,,6.5,P2,,,0,,49,,,,Héroïne
1280,,,,23.5,,,Beige,,,,13.8,Non,,,1.85,,,6.5,P1,,,0,,49,,,,Héroïne
1281,,,,23.5,,,Beige,,,,13.8,Non,,,1.85,,,6.5,P2,,,0,,49,,,,Héroïne
1282,,,,17.85,,,Beige,,,,24.7,Non,,,2,,,10.8,P1,,,0,,37.45,,,,Héroïne
1283,,,,17.85,,,Beige,,,,24.7,Non,,,2,,,10.8,P2,,,0,,37.45,,,,Héroïne
1288,,,,32.9,,,Beige,,,,0,Non,,,,,,0,DE3,,,0,,61.8,,,,Héroïne
1289,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R1,,,0,,54.7,,,,Héroïne
1290,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R2,,,0,,54.7,,,,Héroïne
1291,,,,27.6,,,Beige,,,,10.1,Non,,,,,,0,R3,,,0,,54.7,,,,Héroïne
