id,_3_4_methylenedioxyethylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
2251,,Orange,0,3.42,Polygonale,13.44,15.18,585
2364,,Blanche,0,0,,0,0,0
2365,,Blanche,0,0,,0,0,0
2378,,Jaune,0,0,Polygonale,0,0,0
2379,,Jaune,0,0,Polygonale,0,0,0
2415,,Grise,0,4.7,Rectangulaire_Carré,8.1,8.1,363.4
2416,,Grise,0,3.6,Autre,12.7,9.3,467.6
2417,,Rose,0,5.1,Autre,9.8,9.3,337.1
2419,,Violet,0,4.3,Autre,9.7,9.7,342.9
2421,,Vert,0,4,Autre,11.5,8.8,201.5
2422,,Rose,0,4.6,Rectangulaire_Carré,8.1,8.1,374.2
2500,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2501,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2502,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2503,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2504,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2505,,Rose,0,5.4,Rectangulaire_Carré,9.4,9.4,525
2550,,Rose,0,2.61,Autre,11.49,10.31,246
2554,,Bleue,0,8.65,Triangulaire,12.1,5.24,393
2555,,Bleue,0,8.65,Triangulaire,12.1,5.24,393
2630,,Bleue,0,6.1,Polygonale,8.9,10.09,510
2631,,Bleue,0,6.1,Polygonale,8.9,10.09,510
2632,,Bleue,0,6.1,Polygonale,8.9,10.09,510
2633,,Bleue,0,6.1,Polygonale,8.9,10.09,510
2634,,Bleue,0,6.1,Polygonale,8.9,10.09,510
2652,,Blanche,0,0,,0,0,0
2660,,Beige,0,0,,0,0,0
2661,,Beige,0,0,,0,0,0
2662,,Grise,0,5.7,Autre,12.14,8.1,452
2663,,Grise,0,5.7,Autre,12.14,8.1,452
2697,,Rouge,8.04,4.12,Circulaire,0,0,305
2702,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2703,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2704,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2705,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2706,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2707,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2708,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2709,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
2710,,Orange,0,4.96,Rectangulaire_Carré,7.1,12.14,411
