id,_3_4_methylene_dioxy_methylamphetamine,cafeine,couleur,heroine,noscapine,paracetamol
2483,,17.86,Marron,22.4,9.18,36.56
2484,,17.86,Marron,22.4,9.18,36.56
2529,,20,Beige,18,10,40
2530,,20,Beige,18,10,40
2551,,20.3,Beige,18.2,7.2,44.3
2593,,,Beige,57,24,
2594,,,Beige,55,28,
2595,,,Beige,55,29,
2611,,32.4,Beige,0,0,63.9
2612,,32.4,Beige,0,0,63.9
2614,,14.4,Beige,39.5,21.3,9
2615,,,Beige,52.2,26.7,
2616,,0,Beige,51.1,24.7,3.9
2650,,60,Beige,5.6,3.2,27
2651,,29,Beige,7.5,3,58
2679,,27.2,Marron,8,0,53.3
2680,,27.3,Marron,9.1,0,52.9
2681,,27.3,Marron,9.1,0,52.9
2682,,27.3,Marron,7.9,0,52.9
2683,,27.6,Marron,10.3,0,53.2
2691,,19.1,Beige,36.3,0,20.8
2692,,21.7,Beige,30.8,0,28.8
2694,,23.4,Beige,18.7,6.4,47.5
2696,,23.4,Marron,14.6,9.6,45.4
2698,,25.3,Beige,14.6,6.3,50.4
2699,,17.7,Blanc Cassé,61.3,6.5,
2700,,22.4,Beige,27,0,33.2
2701,,20.4,Marron,32.7,0,30.2
2752,,5.4,Beige,48.2,21.5,9.5
2753,,5.4,Beige,48.2,21.5,9.5
2754,,5.4,Beige,48.2,21.5,9.5
2847,,0,Beige,58.8,23.7,
2848,,0,Beige,58.8,23.7,
2862,,,Beige,57.2,22,
2863,,,Beige,57.2,22,
2864,,,Beige,57.2,22,
2865,,,Beige,57.2,22,
2866,,,Beige,57.2,22,
2867,,29.4,Beige,10.3,0,53.1
2868,,29.4,Beige,10.3,0,53.1
2869,,29.4,Beige,10.3,0,53.1
2870,,30.9,Beige,8,0,55.1
2871,,30.9,Beige,8,0,55.1
2872,,30.9,Beige,8,0,55.1
2873,,25,Beige,15,10,47.5
2874,,27,Beige,14,7,51.5
2875,,27,Beige,14,7,51.5
2897,,,Blanc Cassé,85.9,,
2936,,6.8,Beige,44,23.3,12.8
2937,,6.8,Beige,44,23.3,12.8
2938,,6.8,Beige,44,23.3,12.8
2939,,6.8,Beige,44,23.3,12.8
3055,,19.5,Beige,24.7,0,29.6
3060,,25.3,Beige,3.7,0,49.4
3061,,23.4,Beige,8.7,6,45.4
3062,,23.4,Beige,8.7,6,45.4
3101,,27.6,Beige,7,0,55.3
3128,,19.5,Beige,17.3,13.8,39.9
3129,,26.9,Marron,7.8,4.42,55.92
3130,,26.9,Marron,7.8,4.42,55.92
3131,,26.9,Marron,7.8,4.42,55.92
3132,,26.9,Marron,7.8,4.42,55.92
3133,,26.9,Marron,7.8,4.42,55.92
3241,,28,Beige,9,5,57
3243,,28.4,Beige,6.5,0,55.9
3244,,13.7,Beige,27.2,14.5,26.2
3245,,14.1,Beige,32,15.3,28.4
3246,,28.7,Beige,7.6,0,57.3
3247,,13.6,Beige,28.6,14.8,26.3
3257,,27.4,Marron,9.3,6.5,52.8
3258,,26.7,Marron,9.8,7,51.7
3308,,,Marron,56,27.9,
3310,,25.7,Marron,13.2,6.9,51.4
3311,,23.8,Marron,16.4,8.7,47.1
3314,,31,Beige,4,3,60
3315,,31,Beige,4,3,60
3316,,31,Beige,4,3,60
3317,,31,Beige,4,3,60
3364,,28.26,Marron,7.3,3.83,56.4
3365,,23.3,Beige,15.6,6.2,46.6
3454,,25.3,Beige,12.9,5.4,44.3
3455,,25.5,Beige,11.9,0,44.2
3549,,30.7,Beige,6,2.8,57.9
3550,,30.7,Beige,6,2.8,57.9
3551,,28.7,Beige,9.1,4.3,52
3600,,26,Beige,12.7,5.3,51
3601,,,Beige,48.5,24.5,
3622,,20.8,Beige,10.5,5.6,37.3
3660,,18.35,Beige,25.6,12.05,35.8
3661,,18.35,Beige,25.6,12.05,35.8
3662,,18.35,Beige,25.6,12.05,35.8
3663,,18.35,Beige,25.6,12.05,35.8
3693,,27.9,Beige,6.9,0,53
3694,,27.6,Beige,7.4,0,53.6
3695,,27.6,Beige,7.4,0,53.6
3762,,25.7,Beige,14.9,7,47.5
3840,,23.6,Beige,16.2,10.9,40.1
3841,,23.6,Beige,16.2,10.9,40.1
3842,,23.6,Beige,16.2,10.9,40.1
3843,,23.6,Beige,16.2,10.9,40.1
3844,,23.6,Beige,16.2,10.9,40.1
3845,,23.6,Beige,16.2,10.9,40.1
3846,,23.6,Beige,16.2,10.9,40.1
3847,,23.6,Beige,16.2,10.9,40.1
3848,,23.6,Beige,16.2,10.9,40.1
3849,,23.6,Beige,16.2,10.9,40.1
3850,,23.6,Beige,16.2,10.9,40.1
3851,,23.6,Beige,16.2,10.9,40.1
3852,,23.6,Beige,16.2,10.9,40.1
3853,,23.6,Beige,16.2,10.9,40.1
3854,,23.6,Beige,16.2,10.9,40.1
3855,,23.6,Beige,16.2,10.9,40.1
3856,,23.6,Beige,16.2,10.9,40.1
3857,,23.6,Beige,16.2,10.9,40.1
3858,,23.6,Beige,16.2,10.9,40.1
3885,,34,Beige,0,,68.1
