id,_3_4_methylene_dioxy_methylamphetamine,cafeine,cocaine,couleur,levamisole,lidocaine,n_methyl_tryptamine
671,,0,74,Jaune,0,0,
672,,0,64,Blanche,0,0,
676,,0,94,Blanche,0,0,
679,,1,78,Blanche,5,0,
680,,1,78,Blanche,5,0,
681,,0,49,Blanche,5,0,
682,,0,72,Blanche,0,0,
683,,0,25,Blanche,72,0,
684,,0,79,Blanche,0,0,
703,,0,30.4,Blanche,0,0,
704,,0,80,Jaune,0,0,
705,,0,80,Jaune,0,0,
709,,0,84,Blanche,0,0,
710,,0,69,Blanche,0,0,
711,,0,81,Jaune,0,0,
712,,0,81,Jaune,0,0,
747,,0,49.7,Blanc Cassé,6.5,0,
748,,0,61.7,Blanche,0,0,
749,,0,57.6,Blanc Cassé,11.6,0,
750,,0,57.6,Blanc Cassé,11.6,0,
751,,0,57.6,Blanc Cassé,11.6,0,
752,,0,57.6,Blanc Cassé,11.6,0,
753,,0,57.6,Blanc Cassé,11.6,0,
754,,0,57.6,Blanc Cassé,11.6,0,
755,,0,79.7,Blanche,0,0,
756,,0,31,Blanche,18,0,
764,,0,79,Blanche,0,0,
765,,0,62.4,Blanche,34.2,0,
766,,0,85.6,Blanche,6.7,0,
767,,0,90.3,Blanche,0,0,
768,,0,90.3,Blanche,0,0,
769,,0,90.3,Blanche,0,0,
770,,0,90.3,Blanche,0,0,
771,,0,90.3,Blanche,0,0,
772,,0,90.3,Blanche,0,0,
778,,0,81,Blanche,0,0,
779,,0,29,Blanche,0,49,
790,,0,34,Blanche,0,0,
791,,0,70,Jaune,0,0,
792,,0,88,Jaune,0,0,
793,,0,76,Blanche,0,0,
794,,0,76.4,Blanche,0,0,
811,,0,91,Blanche,0,0,
812,,0,92,Blanche,0,0,
813,,0,31,Blanche,0,0,
826,,0,92.6,Blanche,0,0,
827,,0,92.6,Blanche,0,0,
828,,0,92.6,Blanche,0,0,
829,,0,92.6,Blanche,0,0,
830,,0,92.6,Blanche,0,0,
831,,0,68,Blanc Cassé,5.9,0,
832,,0,82.5,Blanche,4.9,0,
833,,0,82.2,Blanc Cassé,0,0,
834,,0,60.8,Blanc Cassé,0,0,
841,,0,25.9,Blanche,67.9,0,
842,,0,25.9,Blanche,67.9,0,
845,,0,73,Blanche,12.1,0,
891,,0,92.1,Blanche,0,0,
892,,0,92.1,Blanche,0,0,
893,,0,92.1,Blanche,0,0,
894,,0,95.8,Blanche,0,0,
901,,0,50,Blanche,0,0,
902,,0,90,Blanche,0,0,
903,,0,90,Blanche,0,0,
904,,0,90,Blanche,0,0,
905,,0,90,Blanche,0,0,
906,,0,90,Blanche,0,0,
911,,0,38.7,Blanche,0,0,
915,,0,73.2,Blanche,0,0,
916,,0,54.3,Blanc Cassé,3.9,0,
929,,0,70.2,Blanc Cassé,0,0,
930,,0,74.1,Blanche,17,0,
934,,0,82,Blanche,0,0,
935,,0,82,Blanche,0,0,
936,,0,74.4,Blanc Cassé,0,0,
937,,0,74.4,Blanc Cassé,0,0,
938,,0,53,Blanc Cassé,31.2,0,
939,,0,53,Blanc Cassé,31.2,0,
964,,0,50,Blanche,3,0,
976,,0,79.7,Blanche,6,0,
977,,0,90,Blanche,0,0,
978,,0,88.4,Blanche,0,0,
979,,0,68,Blanche,12.2,0,
980,,0,82,Blanche,0,0,
1027,,0,100,Blanche,0,0,
1029,,25.4,70.2,Blanche,4.8,0,
1031,,0,55,Blanche,4.6,0,
1032,,0,55,Blanche,4.6,0,
1033,,12.77,61.2,Blanche,0,0,
1034,,12.77,61.2,Blanche,0,0,
1035,,12.77,61.2,Blanche,0,0,
1036,,12.77,61.2,Blanche,0,0,
1037,,12.77,61.2,Blanche,0,0,
1038,,12.77,61.2,Blanche,0,0,
1039,,12.77,61.2,Blanche,0,0,
1049,,0,0,Blanche,0,0,
1055,,6.5,63.2,Blanche,27,0,
1056,,6.5,63.2,Blanche,27,0,
1060,,3.3,83.8,Blanc Cassé,0,0,
1061,,0,58.8,Blanche,29.6,0,
1062,,0,89,Blanche,0,0,
1063,,0,81.2,Blanche,6.2,0,
1064,,0,81.2,Blanche,6.2,0,
