id,_3_4_methylenedioxyethylamphetamine,_3_4_methylene_dioxy_methylamphetamine,couleur,diametre,epaisseur,forme,hauteur,largeur,masse
12189,49.6,0,Orange,0,4.72,Autre,12.24,9.27,427
12190,49.6,0,Orange,0,4.72,Autre,12.24,9.27,427
12191,49.6,0,Orange,0,4.72,Autre,12.24,9.27,427
12192,65.6,0,Bleue,0,5.16,Triangulaire,12.09,8.66,384
12193,65.6,0,Bleue,0,5.16,Triangulaire,12.09,8.66,384
12194,65.6,0,Bleue,0,5.16,Triangulaire,12.09,8.66,384
12195,65.6,0,Bleue,0,5.16,Triangulaire,12.09,8.66,384
12196,65.6,0,Bleue,0,5.16,Triangulaire,12.09,8.66,384
12197,32.4,0,Rose,0,4.41,Autre,10.35,11.46,375
12198,32.4,0,Rose,0,4.41,Autre,10.35,11.46,375
12199,32.4,0,Rose,0,4.41,Autre,10.35,11.46,375
12200,32.4,0,Rose,0,4.41,Autre,10.35,11.46,375
12201,32.4,0,Rose,0,4.41,Autre,10.35,11.46,375
12305,14.1,0,Bleue,8.16,2.29,Circulaire,0,0,159
12306,14.1,0,Bleue,8.16,2.29,Circulaire,0,0,159
12307,14.1,0,Bleue,8.16,2.29,Circulaire,0,0,159
12308,14.1,0,Bleue,8.16,2.29,Circulaire,0,0,159
12309,15.1,0,Bleue,0,0,,0,0,0
12310,11.9,0,Bleue,0,0,,0,0,0
12312,94.9,0,Beige,0,0,,0,0,0
12379,100,0,Translucide,0,0,,0,0,0
12465,37.8,0,Bleue,0,4.1,Polygonale,10.08,14.06,414
12466,39.8,0,Rose,0,5.51,Polygonale,10.2,14.17,534
12551,26.5,0,Rose,0,4.47,Autre,9.12,16.21,500
12552,26.5,0,Rose,0,4.47,Autre,9.12,16.21,500
12553,26.5,0,Rose,0,4.47,Autre,9.12,16.21,500
12637,100,0,Blanc Cassé,0,0,,0,0,0
12654,24.2,0,Vert,0,5.03,Autre,9.81,9.18,360.2
12655,24.9,0,Vert,0,5.27,Autre,9.82,9.21,357.4
12656,23.4,0,Vert,0,5.11,Autre,9.07,9.71,349.95
12657,25.2,0,Vert,0,5.01,Autre,9.85,9.16,355.08
12658,25.1,0,Vert,0,5.22,Autre,9.77,9.23,360.02
12660,24.7,0,Vert,0,5.09,Autre,9.8,9.23,352.68
12689,0,0,Translucide,0,0,,0,0,0
12840,46,0,Bleue,0,4.06,Rectangulaire_Carré,12.01,7.11,410
12841,46,0,Bleue,0,4.06,Rectangulaire_Carré,12.01,7.11,410
12842,46,0,Bleue,0,4.06,Rectangulaire_Carré,12.01,7.11,410
13004,22.8,0,Vert,0,5.15,Rectangulaire_Carré,8.05,12.48,494
13005,22.8,0,Vert,0,5.15,Rectangulaire_Carré,8.05,12.48,494
13006,22.8,0,Vert,0,5.15,Rectangulaire_Carré,8.05,12.48,494
13007,22.8,0,Vert,0,5.15,Rectangulaire_Carré,8.05,12.48,494
13008,22.8,0,Vert,0,5.15,Rectangulaire_Carré,8.05,12.48,494
13102,7.6,0,Rose,0,3.82,Autre,11.23,12.17,395
13103,7.6,0,Rose,0,3.82,Autre,11.23,12.17,395
13104,7.6,0,Rose,0,3.82,Autre,11.23,12.17,395
13105,8.4,0,Autre,0,3.87,Autre,11.2,12.2,387
13106,8.4,0,Autre,0,3.87,Autre,11.2,12.2,387
13107,8.4,0,Autre,0,3.87,Autre,11.2,12.2,387
13108,42,0,Grise,0,4.2,Polygonale,10.2,14.1,410.67
13109,42,0,Grise,0,4.2,Polygonale,10.2,14.1,410.67
13110,42,0,Grise,0,4.2,Polygonale,10.2,14.1,410.67
13160,76.8,0,Blanc Cassé,0,0,,0,0,0
13396,42,0,Bleue,0,5.09,Autre,13.08,10.88,560.7
13397,45,0,Bleue,0,4.89,Autre,13.08,10.95,535.5
13443,47.5,0,Translucide,0,0,,0,0,0
13444,47.5,0,Translucide,0,0,,0,0,0
13446,52.4,0,Rouge,0,4.2,Rectangulaire_Carré,7.16,12.13,347
13447,0,0,Rose,0,5.46,Polygonale,10.12,14.13,580
13448,0,0,Rose,0,5.46,Polygonale,10.12,14.13,580
